ID_MSMLS	PRIMARY_NAME	SMILES	MOLECULAR_FORMULA	KEGG ID_CSID	CAS ID	HMDB/YMDB ID	NEUTRAL MONOISOTOPIC MOLECULAR MASS	METLIN_ID	PC_CID	PC_SID	ChEBI	id_Mzmine	score_cosine	precursor_mz	rt	intensity	GNPS_Compound_Name	LibraryName	MQScore	MZErrorPPM	SharedPeaks	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct.1	Precursor_MZ.1	Library_Class	IonMode	LibraryQualityString	Compound_Name-Topk=10	NumberHits
300	S-CARBOXYMETHYLCYSTEINE	NC(CSCC(O)=O)C(O)=O	C5H9NO4S	C03727	638-23-3	-	179.025228471	1525	193653	24892985	16163	3058	1	180.03265	1.08087	26174580	S-CARBOXYMETHYL-L-CYSTEINE - 50.0 eV	GNPS-LIBRARY.mgf	0.864384	1.61035	6	ESI	Orbitrap	Isolated	Madeleine Ernst	Anna Abrahamsson	M+H	180.033	1	Positive	Gold	S-CARBOXYMETHYL-L-CYSTEINE - 50.0 eV	10
303	HISTIDINOL	N[C@H](CO)CC1=CN=CN1 (HISTIDINOL)	C6H11N3O	C00860	4836-52-6	HMDB0003431 (HISTIDINOL)	141.090211989	301	165271	24895755	16255	3255	1	142.09776	0.78892	48983212	HISTIDINOL	MONA.mgf	0.89785	5.47653	4	ESI	qTof	isolated	MoNA	MoNA:MoNA032228	M+H	142.097	3	positive	Bronze	HISTIDINOL	10
304	THYMIDINE-MONOPHOSPHATE	CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O (THYMIDINE-MONOPHOSPHATE)	C10H15N2O8P	C00364	365-07-1	HMDB0001227 (THYMIDINE-MONOPHOSPHATE)	322.056601978	3451	9700	24900546	17013	3888	1	323.06442	2.62452	3645128.2	THYMIDINE 5'-MONOPHOSPHATE	MONA.mgf	0.987771	1.13356	4	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA037214	M+H	323.064	3	positive	Bronze	THYMIDINE 5'-MONOPHOSPHATE	10
305	UREIDOPROPIONATE	NC(=O)NCCC(O)=O	C4H8N2O3	C02642	462-88-4	HMDB0000026	132.053492132	294	111	57653594	18261	4020	1	133.06102	1.4641	14625143	3-Ureidopropionic acid	MSNLIB-POSITIVE.mgf	0.701554	0.344025	3	ESI	Orbitrap	Crude	Tomas Pluskal	Corinna Brungs	[M+H]+	133.061	1	Positive	Gold	3-Ureidopropionic acid	1
306	5-AMINOPENTANOATE	NCCCCC(O)=O	C5H11NO2	C00431	660-88-8	HMDB0003355	117.078978601	6902	138	24847525	15887	3490	0.999	118.08659	1.13247	39459972	5-AMINOPENTANOATE	PSU-MSMLS.mgf	0.867195	3.1012	4	ESI	qTof	Commercial	Andrew D. Patterson	Philip Smith	[M+H]+	118.087	1	Positive	Gold	5-AMINOPENTANOATE	10
307	NORLEUCINE	CCCC[C@H](N)C(O)=O	C6H13NO2	C01933	327-57-1	HMDB0001645	131.094628665	6334	21236	24897796	18347	4284	0.999	132.10216	2.29868	54153736	Norleucine	GNPS-EMBL-MCF.mgf	0.988809	59.3673	3	DI-ESI	Orbitrap	Commercial	Alexandrov Theodore	Prasad	M+H	132.11	1	Positive	Gold	Norleucine	10
309	ADENOSINE	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	C10H13N5O4	C00212	58-61-7	HMDB0000050	267.096753929	86	60961	24277685	16335	4184	0.999	268.10403	4.15842	40050304	Massbank:EQ330401 Adenosine|(2R,3R,4S,5R)-2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol	MASSBANK.mgf	0.990202	0.341482	4	ESI	Hybrid FT	Isolated	Massbank	Massbank	M+H	268.104	3	Positive	Bronze	Massbank:EQ330401 Adenosine|(2R,3R,4S,5R)-2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol	10
312	2-ACETAMIDO-2-DEOXY-BETA-D-GLUCOSYLAMINE	CC(=O)N[C@H]1[C@H](N)O[C@H](CO)[C@@H](O)[C@@H]1O	C8H16N2O5	C01239	4229-38-3	HMDB0001104	220.105923	6006	439454	348275047	15947	5201	1	221.11363	0.87817	1777724.5	2_ACETAMIDO_2_DEOXY_BETA_D_GLUCOSYLAMINE	GNPS-LIBRARY.mgf	0.920502	2.69135	8	ESI	Orbitrap	Commercial	Aron	David Hattan	M+H	221.113	1	Positive	Gold	2_ACETAMIDO_2_DEOXY_BETA_D_GLUCOSYLAMINE	2
316	LACTOSE	OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O (LACTOSE)	C12H22O11	C00243	63-42-3	HMDB0000186 (LACTOSE)	342.116211546	267	440995	329759435	17716	6045	1	343.12369	0.94266	1603764	BETA-LACTOSE	MONA.mgf	0.992295	1.95669	9	ESI	Orbitrap	isolated	MoNA	MoNA:MoNA038771	M+H	343.123	3	positive	Bronze	BETA-LACTOSE	10
318	4-IMIDAZOLEACETATE	OC(=O)CC1=CN=CN1 (4-IMIDAZOLEACETATE)	C5H6N2O2	C02835	645-65-8	HMDB0002024 (4-IMIDAZOLEACETATE)	126.042927446	6445	96215	24853158	16974	6746	1	127.05061	1.06199	46746068	Imidazole-4(5)-acetic Acid - 30.0 eV	BIRMINGHAM-UHPLC-MS-POS.mgf	0.991451	4.80403	4	ESI	Orbitrap	Isolated	PI	Data Collector	Unknown	127.05	1	Positive	Gold	Imidazole-4(5)-acetic Acid - 30.0 eV	10
